#{"t_start": 1753560645.084397, "env_id": "None"}
r,l,t
-0.644499,2,22.528125
-0.07277,2,22.723404
-0.026932,2,22.820565
0.121461,2,22.93374
-0.650992,2,23.044446
0.413435,2,23.175612
0.142941,2,23.508024
0.269632,2,23.653942
-0.138954,2,23.756209
-0.054979,2,23.843287
0.231578,2,24.077449
0.145676,2,24.207007
-0.051722,2,24.380927
0.01748,2,24.520631
0.05988,2,24.628392
0.118096,2,24.747047
-0.468258,2,24.958796
-0.307431,2,25.04003
0.064073,2,25.174411
-0.026169,2,25.319299
-0.245562,2,25.448756
-0.001816,2,25.610642
-0.221161,2,25.803123
0.223903,2,25.948181
0.319299,2,26.145009
0.338063,2,26.229153
-0.14018,2,26.344117
0.148415,2,26.628223
0.248568,2,26.830305
0.099903,2,27.042489
0.171768,2,27.201797
0.060953,2,27.30758
0.295306,2,27.413612
-1.200609,2,27.635193
0.190414,2,27.832534
-0.098965,2,27.978358
0.385958,2,28.130605
-0.127001,2,28.311745
-0.079661,2,28.464945
-0.129971,2,28.627213
0.203618,2,28.903199
-0.692418,2,29.057204
0.044122,2,29.259943
-0.194444,2,29.48893
-0.655022,2,29.63963
-0.648508,2,29.865836
0.12841,2,30.013643
0.305116,2,30.226919
-0.421328,2,30.398802
-0.877006,2,30.631383
0.23897,2,30.822634
0.102723,2,31.061231
-0.222276,2,31.231389
-0.187179,2,31.644853
-0.639563,2,31.950726
0.269735,2,32.123705
0.379741,2,32.250036
0.190237,2,32.483191
-0.612137,2,32.73827
-0.330489,2,32.988293
-0.028443,2,33.078127
-0.344077,2,33.20106
-0.194279,2,33.315153
0.147847,2,33.446514
0.427707,2,33.562111
0.026969,2,33.752655
0.114025,2,33.841175
-0.442634,2,34.077558
-0.500122,2,34.19926
0.108166,2,34.408622
0.267693,2,34.547234
0.352741,2,34.704227
-0.118878,2,34.925082
0.257783,2,35.051345
0.132908,2,35.188126
0.168733,2,35.288572
0.253051,2,35.399553
0.201899,2,35.503678
-0.117509,2,35.57869
0.29635,2,35.752827
0.167752,2,35.833347
0.019341,2,36.014382
0.324213,2,36.169596
0.376241,2,36.401865
0.30059,2,36.610342
0.35612,2,36.806093
0.129247,2,37.006754
0.274299,2,37.182162
0.121327,2,37.378542
0.255064,2,37.649281
-0.133652,2,37.843638
0.12222,2,37.999133
-0.15946,2,38.155745
0.148621,2,38.278572
-0.013448,2,38.418653
0.088755,2,38.597574
-0.22817,2,38.693991
0.055452,2,38.81178
0.007495,2,38.943824
-0.569109,2,39.060698
0.040324,2,39.207112
0.211543,2,39.325945
-0.042114,2,39.556187
0.032738,2,39.639203
-0.125827,2,39.833022
0.007576,2,39.996788
0.122316,2,40.094116
-0.279646,2,40.182025
0.256102,2,40.288054
-0.076498,2,40.488528
0.343208,2,40.625988
0.212164,2,40.772014
0.276597,2,41.005554
0.129869,2,41.113484
-0.328991,2,41.204137
0.040246,2,41.298309
-0.149839,2,41.507674
0.084132,2,41.602654
0.241462,2,41.802578
0.069109,2,42.002646
0.014536,2,42.408496
0.238649,2,42.580123
0.261804,2,42.674173
0.06307,2,42.788116
0.26002,2,42.893788
-0.076859,2,43.094085
-0.206166,2,43.273847
-0.301788,2,43.38971
0.087128,2,43.505095
0.105603,2,43.67606
0.082919,2,43.761255
0.238684,2,43.88062
0.314258,2,44.034565
0.242307,2,44.217004
-0.021548,2,44.348121
0.407421,2,44.506858
0.169265,2,44.629833
-0.091043,2,44.870585
-0.295427,2,45.121159
0.013754,2,45.26844
0.014449,2,45.42862
-0.089345,2,45.619376
-0.064659,2,45.910664
0.135082,2,46.079621
0.145918,2,46.243784
0.364818,2,46.49128
0.351606,2,46.690245
-0.173854,2,46.975319
0.136877,2,47.208394
0.32216,2,47.359489
0.226025,2,47.578763
0.300655,2,47.784109
0.013867,2,47.97685
0.021531,2,48.249956
0.384358,2,48.449983
0.079987,2,48.539278
0.408688,2,48.793049
-0.008868,2,49.01297
0.1718,2,49.128019
-0.410053,2,49.38685
-0.26038,2,49.660239
-0.037853,2,49.958732
-0.000223,2,50.054277
0.040286,2,50.283252
0.081747,2,50.373416
0.107564,2,50.660657
0.188637,2,50.857942
0.353119,2,51.062946
0.097808,2,51.228641
-0.005035,2,51.440731
-0.144728,2,51.760758
0.095289,2,51.938269
0.360269,2,52.205232
0.102284,2,52.396049
0.079803,2,52.649632
-0.687824,2,52.937909
0.387973,2,53.115443
-0.404272,2,53.40653
-0.099799,2,53.651803
-0.093069,2,53.953027
-0.03794,2,54.193032
0.131155,2,54.506783
0.304962,2,54.7447
0.408206,2,55.020055
0.270368,2,55.216119
-0.180455,2,55.462042
0.213735,2,55.674599
0.02008,2,55.981966
-0.125025,2,56.170169
0.071476,2,56.375582
-0.131352,2,56.617269
0.154577,2,56.805052
0.215451,2,57.007592
-0.033086,2,57.261416
-0.032288,2,57.472715
-0.522383,2,57.744624
-0.324609,2,58.036996
-0.560909,2,58.344274
0.217961,2,58.549222
0.017703,2,58.754496
0.011249,2,58.944592
0.07085,2,59.131948
-0.268522,2,59.336842
-0.04145,2,59.579697
-0.149176,2,59.800049
-0.381993,2,59.981809
-0.868048,2,60.158707
-0.377952,2,60.32963
0.444081,2,60.501245
0.319677,2,60.67264
0.301332,2,60.8666
-0.210088,2,61.097099
-0.071394,2,61.282495
0.178399,2,61.475332
0.233604,2,61.644482
0.106985,2,61.842461
-0.009219,2,62.064369
-0.01999,2,62.201357
-0.78282,2,62.398338
-0.209193,2,62.583862
-0.242492,2,62.759557
-0.723232,2,62.927124
0.103805,2,63.132589
-0.612469,2,63.31771
0.406499,2,63.486979
-0.545481,2,63.67919
-0.524314,2,63.871611
-0.243432,2,64.062057
-0.180043,2,64.247211
0.093758,2,64.492821
-1.316883,2,64.689027
0.01002,2,64.861295
0.040704,2,65.028192
-0.046295,2,65.205006
0.164207,2,65.433156
0.155173,2,65.637331
-0.012325,2,65.838009
0.344157,2,66.011729
-0.272671,2,66.242754
0.238984,2,66.40531
-0.268796,2,66.561905
0.209346,2,66.7323
-0.217946,2,66.928656
0.355627,2,67.091191
-0.177694,2,67.273918
-0.388815,2,67.402037
0.262759,2,67.625685
-0.131258,2,67.779303
-0.31564,2,68.022183
0.318068,2,68.200404
-0.755289,2,68.350654
-0.248324,2,68.493431
-0.280094,2,68.593307
-0.555778,2,68.864514
0.092285,2,68.991241
0.177367,2,69.122489
-0.188275,2,69.308731
0.018856,2,69.465647
-0.495753,2,69.680723
