#{"t_start": 1753634651.438863, "env_id": "None"}
r,l,t
2.880556,3,0.138028
-1.719714,3,0.336875
2.56371,3,0.467647
-0.355769,3,6.592551
0.465263,3,6.792992
-4.09242,3,7.080348
1.653384,3,7.289268
-0.089137,3,7.49985
-0.775253,3,7.622702
0.829274,3,7.702073
1.014757,3,7.916716
-4.430463,3,8.016674
1.83362,3,8.18126
-0.583331,3,8.273894
-0.431731,3,8.510376
1.306771,3,8.616824
2.632546,3,8.769427
-2.92618,3,9.085762
-1.377876,3,9.366141
2.15031,3,9.503888
-0.143616,3,9.658218
-1.657423,3,9.785666
-1.443691,3,9.901089
0.85974,3,9.975582
0.696752,3,10.113437
1.051334,3,10.178535
0.500891,3,10.455216
-0.591754,3,10.577428
0.418543,3,10.904036
0.397676,3,11.482918
0.985273,3,11.627197
-0.213923,3,11.77141
-1.551948,3,11.906353
-1.26016,3,12.078236
-1.652745,3,12.369845
1.864263,3,12.480724
2.290836,3,12.670458
-1.983043,3,12.937568
3.183173,3,13.170604
1.915361,3,13.423714
0.302559,3,13.598789
-0.448371,3,13.82995
0.972386,3,13.98037
0.948157,3,14.197313
0.213729,3,14.349048
-0.411378,3,14.511362
-2.82638,3,14.743379
-1.455999,3,15.06855
0.601815,3,15.263814
2.024598,3,15.375414
-3.028932,3,15.460679
-3.10395,3,15.758578
2.121317,3,15.875666
1.111788,3,15.947138
-0.292354,3,16.094045
0.785586,3,16.285317
2.72791,3,16.42491
0.571368,3,16.569159
1.522079,3,16.805119
2.225835,3,16.907289
2.607264,3,17.001899
0.613135,3,17.155875
-3.13116,3,17.482908
2.587682,3,17.567488
0.494216,3,17.722003
-0.071689,3,17.950163
-0.805483,3,18.024289
1.173255,3,18.171887
-1.556343,3,18.484367
1.445225,3,18.652388
0.659292,3,18.72224
-1.428665,3,18.923029
-0.609705,3,19.28828
-5.082785,3,19.573144
-0.749052,3,19.739916
-0.398984,3,19.84356
2.828773,3,19.96216
1.193694,3,20.24969
-6.318664,3,20.400584
-0.215412,3,20.436074
1.370497,3,20.540241
0.739477,3,20.704961
1.493014,3,21.017072
-1.757326,3,21.125631
0.281925,3,21.256125
1.825244,3,21.340572
-2.658975,3,21.492381
1.289943,3,21.531425
1.05725,3,21.61827
0.749508,3,21.919772
-1.212392,3,22.10432
-1.204614,3,22.242911
0.997515,3,22.332212
-1.254976,3,22.500829
-0.644369,3,22.608195
0.859048,3,22.773307
-1.034545,3,22.854042
0.240056,3,23.006945
-0.153405,3,23.230226
2.172964,3,23.32688
-0.677425,3,23.455595
2.668981,3,23.577807
-2.756299,3,23.669592
-4.817341,3,23.833407
1.466825,3,23.942439
-5.219089,3,24.085549
1.86811,3,24.198483
2.275509,3,24.315214
1.661318,3,24.460464
-3.54553,3,24.631067
-0.867177,3,24.956452
0.86395,3,25.153304
1.835296,3,25.339645
0.5436,3,25.393996
2.125561,3,25.649335
0.668036,3,25.726378
-1.052261,3,25.920297
1.144581,3,26.144973
0.411653,3,26.42348
1.352356,3,26.568787
1.308463,3,26.742819
0.368945,3,26.926593
-1.673822,3,27.180326
0.475026,3,27.378179
1.853125,3,27.540692
-2.146754,3,27.778225
2.054545,3,27.885834
-2.097635,3,28.18908
2.428405,3,28.265391
-0.298654,3,28.437289
-2.133417,3,28.719785
1.095324,3,28.906663
-0.284061,3,29.00507
1.108007,3,29.058369
1.396862,3,29.164407
2.10793,3,29.31316
-0.704948,3,29.534015
1.57884,3,29.901686
2.047022,3,30.018888
0.473498,3,30.233776
0.834232,3,30.442763
2.432118,3,30.550781
1.136838,3,30.80091
-4.764422,3,31.042142
1.059551,3,31.164301
-1.420944,3,31.416433
-4.197058,3,31.474713
1.198182,3,31.620699
1.368508,3,31.688962
-0.157506,3,31.88492
-0.451249,3,31.963942
-0.156983,3,32.016748
0.638821,3,32.06607
1.96983,3,32.344932
0.390354,3,32.611716
-0.598952,3,32.766408
-0.566369,3,33.025388
