#{"t_start": 1754422429.876378, "env_id": "None"}
r,l,t
2.836688,5,736.015152
4.035236,5,736.187444
2.323136,5,736.530328
1.325949,5,736.834223
1.016714,5,737.019832
-2.883728,5,737.312003
-1.06106,5,737.470525
-0.038605,5,737.628696
1.598205,5,737.89451
1.720877,5,738.133841
3.255706,5,738.433621
1.332655,5,738.746319
-0.960912,5,739.243113
0.524713,5,739.575064
0.048768,5,740.07867
-2.407839,5,740.385723
0.131372,5,741.087179
-2.157997,5,741.408942
1.43262,5,741.92184
1.350517,5,742.317968
-2.465002,5,742.91759
1.890926,5,743.220497
-0.000954,5,743.435887
-1.094639,5,743.632534
1.474243,5,744.108752
-0.988698,5,744.500782
2.532459,5,744.860014
0.605871,5,745.049368
1.989683,5,745.301818
0.350563,5,745.744224
0.698802,5,746.194672
-0.619682,5,746.708191
3.752036,5,747.216564
-0.349321,5,747.651288
-0.060879,5,748.031309
-0.661836,5,748.332728
-2.7962,5,748.5263
0.9753,5,748.935931
-1.616412,5,749.27188
0.032493,5,749.762946
2.66125,5,749.879544
-0.564635,5,750.26212
1.184153,5,750.708521
2.875641,5,751.232637
-1.524204,5,751.500382
2.40649,5,751.720057
-0.296803,5,752.313964
-3.496178,5,752.653592
2.2377,5,752.918907
3.463908,5,753.151755
-2.459408,5,753.739736
1.079542,5,753.885197
0.038896,5,754.109189
-3.55045,5,754.59637
0.683998,5,755.061658
2.830447,5,755.537275
0.024918,5,755.84511
-0.86125,5,756.471359
0.866025,5,756.662392
0.033984,5,756.86812
-1.88427,5,757.302376
0.076787,5,757.562046
3.511807,5,757.776714
3.33239,5,758.339999
0.187061,5,758.629697
1.306437,5,758.93269
-1.695882,5,759.331482
-1.866685,5,759.72085
0.775389,5,759.978619
0.755021,5,760.13522
-0.561032,5,760.589767
2.956383,5,760.736465
-2.103909,5,761.258431
0.662825,5,761.706159
2.296382,5,761.874583
1.586687,5,762.214178
-3.398871,5,762.402298
1.058333,5,762.845666
-1.37267,5,763.281352
-1.270566,5,763.530307
0.901586,5,763.820306
2.403221,5,764.027217
-4.348996,5,764.444466
0.851633,5,764.640475
-0.527576,5,764.911051
-0.366841,5,765.162179
-2.894941,5,765.481295
0.567456,5,765.613726
2.389564,5,766.001504
1.287556,5,766.270866
0.048126,5,766.386685
1.10887,5,766.71084
1.097185,5,767.048616
-2.574729,5,767.336128
0.859834,5,767.794357
-2.072491,5,768.193404
-0.511136,5,768.512061
2.097085,5,768.703997
0.022128,5,769.241103
-2.418753,5,769.816596
1.770189,5,770.034783
-1.626854,5,770.301768
2.223146,5,770.597872
2.75633,5,770.866421
0.06927,5,771.146848
3.600384,5,771.489255
1.337058,5,771.750259
2.081942,5,772.215447
-0.944365,5,772.592648
-0.907055,5,772.950305
0.120464,5,773.19531
0.029109,5,773.323725
-0.058378,5,773.612456
-1.210259,5,773.787738
2.499526,5,774.066624
0.959603,5,774.269936
2.359008,5,774.578246
0.550379,5,775.121792
-1.645181,5,775.624541
1.572652,5,775.963175
-1.262415,5,776.197344
3.012926,5,776.643535
2.861475,5,776.909666
1.976827,5,777.259817
-0.823501,5,777.502783
3.333792,5,777.76269
0.257894,5,778.070916
1.982351,5,778.360508
0.380903,5,778.666933
1.533878,5,778.941715
-0.252688,5,779.245789
0.656228,5,779.516927
0.469232,5,779.790395
0.025317,5,780.000503
0.977435,5,780.258062
1.664233,5,780.50746
2.644352,5,780.920695
1.031539,5,781.751937
2.183325,5,781.875644
2.654554,5,782.229856
1.854569,5,782.511584
-1.830119,5,783.016888
-0.69741,5,783.40614
2.181662,5,783.590597
0.302787,5,784.012226
-0.856116,5,784.111177
0.801198,5,784.299713
2.31351,5,784.47028
3.415544,5,784.942122
2.001123,5,785.315779
-0.277539,5,785.559122
-1.940089,5,786.008984
-1.534015,5,786.239168
-6.889133,5,786.634177
-0.658319,5,786.906218
-2.141696,5,787.214709
1.351795,5,787.597531
-0.116889,5,787.851411
-1.419876,5,788.37193
-4.487648,5,788.661114
2.331455,5,788.91973
-6.57474,5,789.41435
-1.576815,5,789.642819
2.01997,5,789.777267
0.188752,5,790.160925
0.383284,5,790.589624
0.00616,5,790.976331
1.693649,5,791.215217
0.652967,5,791.54221
1.154024,5,791.702826
-2.003715,5,791.936543
3.36969,5,792.372802
-2.59208,5,792.794321
1.14606,5,792.990024
-2.380706,5,793.408809
-5.510816,5,793.733131
1.318391,5,793.961348
-3.084827,5,794.331915
2.648135,5,794.573477
1.060584,5,794.909831
0.156568,5,795.33879
-0.514798,5,795.759343
1.245057,5,795.913701
0.51315,5,796.211087
0.978829,5,796.569375
-1.427016,5,796.860025
2.829806,5,797.190204
-3.845786,5,797.751667
1.643675,5,798.031453
-0.436,5,798.295063
2.885966,5,798.821539
2.806603,5,799.065729
0.554189,5,799.402286
2.682711,5,799.706663
0.937489,5,800.015339
1.438571,5,800.435363
-2.674111,5,800.722187
0.479028,5,800.96158
-5.687124,5,801.159633
0.416899,5,801.295737
2.699684,5,801.540332
-4.227988,5,802.073267
2.293203,5,802.165867
-0.333742,5,802.499575
-0.408506,5,802.727461
2.198552,5,802.912029
1.194175,5,803.318343
0.175938,5,803.569307
0.714443,5,803.87442
1.998855,5,804.1287
0.372852,5,804.398832
-2.211393,5,804.77169
1.614979,5,805.172709
2.329588,5,805.528374
1.014285,5,805.884699
-0.143554,5,806.202004
0.462609,5,806.690015
0.638669,5,807.046519
-3.696602,5,807.324523
4.462981,5,807.497545
0.138391,5,807.720078
0.90563,5,807.968163
0.261929,5,808.202282
1.478654,5,808.526796
0.043692,5,808.662581
1.309102,5,809.136191
-2.429947,5,809.429432
1.523882,5,809.634807
3.525483,5,809.892816
0.569934,5,810.209865
1.398235,5,810.393092
1.237424,5,810.759236
-0.651596,5,810.92278
-0.097312,5,811.123799
0.726289,5,811.5544
