#{"t_start": 1755724147.0414, "env_id": "None"}
r,l,t
-6.415374,5,5.992487
-11.648869,5,6.212664
0.38459,5,6.386743
-2.033487,5,6.615301
-9.209297,5,6.950804
-7.743637,5,7.02714
-10.921008,5,7.204701
-4.09729,5,7.324285
-3.086558,5,7.552374
-2.126327,5,7.809211
-3.366772,5,7.986302
-6.834548,5,8.125895
0.555572,5,8.401881
-3.487451,5,8.582153
0.515741,5,8.842555
-8.90962,5,9.039025
-8.751863,5,9.196298
2.118669,5,9.528195
-8.342242,5,9.691058
-9.880786,5,9.822206
-0.963807,5,10.002122
-6.963676,5,10.284763
-5.025076,5,10.464891
-8.195796,5,10.677424
-4.312851,5,10.901437
-2.404116,5,11.23887
-4.470178,5,11.460852
-3.07573,5,11.717058
-2.737377,5,11.899589
0.924562,5,12.103539
-8.155211,5,12.348718
-6.843234,5,12.634332
-11.389627,5,12.806299
-2.915512,5,12.990186
-0.763586,5,13.132859
-15.57371,5,13.35706
1.245643,5,13.56637
-8.938815,5,13.732341
-3.677749,5,13.923369
-7.59791,5,14.151011
-0.413172,5,14.246654
-7.972362,5,14.487575
-4.807281,5,14.708985
-7.199749,5,14.983934
-0.274365,5,15.180209
-3.183639,5,15.454827
-4.434615,5,15.608708
-3.936744,5,15.828877
0.149398,5,16.033024
-0.729137,5,16.147206
-9.846213,5,16.403577
-1.916762,5,16.594834
0.472286,5,16.821667
-3.177064,5,16.993504
-3.169682,5,17.122583
0.924066,5,17.326513
-2.069599,5,17.520195
-7.820906,5,17.693209
-7.556707,5,17.893603
-2.543051,5,18.010861
-9.155353,5,18.101177
-5.609193,5,18.305012
0.920373,5,18.480741
0.534014,5,18.574319
-13.228326,5,18.772861
-6.95275,5,18.899291
1.13995,5,19.062915
-2.633607,5,19.22187
-6.539162,5,19.349315
-5.632733,5,19.584865
-3.884935,5,19.762953
-6.919509,5,19.974399
-1.065924,5,20.249567
-5.98395,5,20.3938
-4.723157,5,20.579064
-5.138616,5,20.7349
-5.260237,5,20.875711
-3.941691,5,21.13755
-4.686683,5,21.326906
-10.652511,5,21.573615
-6.448928,5,21.800195
-0.117201,5,21.948533
-4.069149,5,22.13678
-5.41147,5,22.284486
-4.532417,5,22.478135
-7.33492,5,22.588593
1.105811,5,22.836064
-6.729476,5,23.052498
-4.926782,5,23.176119
-3.164528,5,23.457952
-6.286782,5,23.655487
-10.788588,5,23.812246
-1.394811,5,23.976307
-5.366631,5,24.19392
-2.523084,5,24.383071
-17.50158,5,24.506258
1.542745,5,24.672174
-9.158272,5,24.925223
-7.209151,5,25.123202
-8.501158,5,25.24111
-8.685592,5,25.357176
-7.031569,5,25.481709
-7.227793,5,25.68417
-5.499179,5,25.824225
-3.393833,5,26.003184
-2.204917,5,26.145569
-1.783739,5,26.429727
-4.243305,5,26.643777
-9.214223,5,26.862942
-3.022058,5,27.171315
-7.130176,5,27.495732
-12.150069,5,27.665489
-5.280095,5,27.94724
