#{"t_start": 1753971910.623863, "env_id": "None"}
r,l,t
0.340875,1,3.189042
0.170251,1,3.215699
0.247889,1,3.219961
-0.086453,1,3.241647
0.661659,1,3.25553
-0.268855,1,3.332789
-0.072155,1,3.335351
-0.179927,1,3.344183
0.156462,1,3.352394
0.342216,1,3.364416
0.093213,1,3.382996
-0.094717,1,3.384737
0.042642,1,3.409782
0.161467,1,3.420925
-0.164175,1,3.426183
0.271984,1,3.473035
0.186677,1,3.498109
-0.228337,1,3.50061
0.019469,1,3.504684
0.11531,1,3.608971
0.243078,1,3.632543
0.086424,1,3.638427
0.164389,1,3.639513
-0.04365,1,3.647052
0.643463,1,3.657487
0.071956,1,3.790443
0.222219,1,3.794602
0.24226,1,3.797426
0.133157,1,3.800844
-0.221354,1,3.802713
0.114103,1,3.807053
0.141577,1,3.815719
0.145745,1,3.844969
-0.115522,1,3.859287
-0.166088,1,3.861231
0.172857,1,3.872771
0.290019,1,3.888134
0.331343,1,3.899923
-0.097474,1,3.915526
0.77415,1,3.935442
-0.096877,1,3.938355
-0.18019,1,3.950611
0.042106,1,3.973318
0.282145,1,3.985785
-0.024507,1,4.153852
0.080513,1,4.160554
-0.177126,1,4.161528
0.433789,1,4.170545
0.131621,1,4.179559
-0.218859,1,4.201179
0.12258,1,4.20581
0.182276,1,4.240428
0.675621,1,4.260857
0.059536,1,4.268111
-0.143676,1,4.290763
-0.043011,1,4.313525
0.086941,1,4.398032
-0.140099,1,4.404867
-0.611072,1,4.414401
-0.14057,1,4.479316
0.161753,1,4.486816
0.083293,1,4.498126
-0.016058,1,4.501445
0.059077,1,4.512186
-0.032972,1,4.527445
0.413017,1,4.546984
0.510874,1,4.550116
0.263857,1,4.640866
0.29576,1,4.650982
0.298889,1,4.687611
-0.035619,1,4.688666
0.273172,1,4.694961
0.717888,1,4.707275
0.090189,1,4.711743
0.133592,1,4.729846
0.280497,1,4.773624
-0.198203,1,4.797623
0.081631,1,4.817115
-0.136228,1,4.843941
0.07105,1,4.938979
-0.27248,1,4.956922
-0.119263,1,4.964357
0.068981,1,5.027831
-0.39533,1,5.249616
-0.22739,1,5.320798
0.363376,1,5.330867
-0.214058,1,5.349352
0.333961,1,5.352607
0.231156,1,5.359215
0.446416,1,5.381618
0.224793,1,5.389046
0.037738,1,5.404054
-0.05175,1,5.41166
-0.108771,1,5.421805
0.106313,1,5.439003
0.060206,1,5.462858
0.107092,1,5.546882
0.203035,1,5.577567
-0.064213,1,5.584251
-0.103809,1,5.729921
-0.068235,1,5.753492
-0.305061,1,5.759971
-0.171093,1,5.768453
0.322615,1,5.783937
0.084425,1,5.785199
-0.045864,1,5.825875
0.040479,1,5.843016
0.479229,1,5.862985
-0.232294,1,5.874449
-0.218255,1,5.879341
-0.106023,1,5.894259
0.288507,1,6.124045
-0.278447,1,6.152112
-0.075346,1,6.174224
-0.223994,1,6.185393
0.315087,1,6.232805
-0.148877,1,6.239956
0.032476,1,6.24952
0.135838,1,6.270521
0.19999,1,6.286647
-0.077711,1,6.291681
0.130833,1,6.321376
-0.086724,1,6.326092
-0.033583,1,6.3512
-0.082533,1,6.369472
0.323768,1,6.382559
0.135462,1,6.403231
0.337753,1,6.462504
0.369537,1,6.465109
0.212743,1,6.471259
0.150154,1,6.528211
-0.32441,1,6.596859
0.242977,1,6.607755
0.086848,1,6.611
0.11135,1,6.646556
0.170408,1,6.66706
0.013412,1,6.670427
0.011474,1,6.857132
-0.174435,1,6.870408
-0.088997,1,6.896469
0.160479,1,6.973592
0.011057,1,6.980751
0.129484,1,7.000192
0.253744,1,7.031625
0.192262,1,7.044321
0.532613,1,7.064828
0.258282,1,7.071933
-0.035194,1,7.073234
-0.019075,1,7.182509
0.215986,1,7.302723
0.194684,1,7.303965
-0.25407,1,7.333468
-0.074704,1,7.35349
0.459786,1,7.356386
-0.142869,1,7.377801
0.030672,1,7.411516
-0.245099,1,7.414651
-0.017038,1,7.429374
-0.204684,1,7.443365
0.228633,1,7.454587
0.002483,1,7.466295
0.108596,1,7.471965
0.239835,1,7.4828
0.60579,1,7.496974
0.02924,1,7.507351
-0.096592,1,7.52148
0.133278,1,7.532029
0.259691,1,7.755076
0.204874,1,7.763458
0.050032,1,7.765675
0.076356,1,7.799938
-0.046684,1,7.805589
0.070922,1,7.813292
0.055462,1,7.822571
-0.020964,1,7.836115
-0.042183,1,8.072216
0.036779,1,8.075869
-0.213502,1,8.078048
0.265229,1,8.080455
0.022912,1,8.136193
-0.003916,1,8.142561
-0.056202,1,8.143886
0.116137,1,8.146545
0.35794,1,8.154247
-0.107166,1,8.156573
-0.200085,1,8.158556
-0.079719,1,8.167075
-0.170336,1,8.187992
0.165853,1,8.18945
0.020843,1,8.216319
-0.0644,1,8.237382
0.431395,1,8.254542
-0.114708,1,8.493943
-0.000386,1,8.51585
-0.065895,1,8.535025
-0.031389,1,8.543879
0.154689,1,8.551999
-0.506266,1,8.588069
0.014281,1,8.596348
-0.166423,1,8.599732
-0.026713,1,8.607232
-0.131368,1,8.608429
0.435151,1,8.619302
0.28514,1,8.667133
0.131072,1,8.691656
0.173828,1,8.706041
-0.082264,1,8.707951
0.783534,1,8.71816
0.35648,1,8.734169
0.325931,1,8.743133
0.202505,1,8.744809
0.207559,1,8.765486
0.138724,1,8.780912
0.24693,1,8.798069
0.363882,1,8.802883
0.015429,1,8.809544
0.622902,1,8.829606
0.101702,1,8.853698
-0.113753,1,8.88094
-0.290537,1,8.917526
0.385695,1,8.92429
0.507175,1,8.932864
-0.080744,1,8.95923
-0.075977,1,8.96375
0.625609,1,8.973745
-0.245335,1,8.98933
0.127054,1,8.993779
0.035393,1,9.047913
0.2375,1,9.062616
0.014783,1,9.067811
-0.324643,1,9.087554
0.199079,1,9.106885
0.180509,1,9.248189
-0.22458,1,9.421666
0.003562,1,9.433522
0.216727,1,9.436972
-0.016947,1,9.452054
0.201341,1,9.462695
-0.344323,1,9.474565
0.338587,1,9.490151
0.054301,1,9.503714
0.100461,1,9.513279
0.436457,1,9.527051
-0.324652,1,9.552975
-0.004254,1,9.556539
0.368213,1,9.623669
0.200777,1,9.628319
0.053766,1,9.638117
0.448572,1,9.784251
0.628136,1,9.801364
0.221576,1,9.885529
0.411576,1,9.888892
0.105925,1,9.974103
-0.010411,1,9.995414
0.62237,1,10.010804
-0.215124,1,10.028694
0.160552,1,10.035076
-0.048197,1,10.03846
0.468492,1,10.057748
0.009625,1,10.066402
0.11195,1,10.134211
0.202373,1,10.160608
0.636711,1,10.180388
0.316194,1,10.197537
0.389265,1,10.214857
-0.078302,1,10.219392
0.1877,1,10.221494
0.083944,1,10.262298
-0.158065,1,10.267519
-0.135043,1,10.286792
0.071556,1,10.310516
0.123176,1,10.321672
0.038237,1,10.410041
0.000254,1,10.420123
-0.069954,1,10.505488
-0.331687,1,10.529708
0.367149,1,10.548884
0.453013,1,10.565169
0.236922,1,10.723689
0.232781,1,10.727092
0.316628,1,10.74889
-0.050939,1,10.752889
-0.362689,1,10.812526
0.336669,1,10.875552
0.14347,1,10.878355
-0.291596,1,10.940943
-0.246585,1,10.950091
0.116272,1,10.951243
0.174183,1,10.956133
0.136772,1,10.957851
0.660716,1,10.975467
0.248931,1,11.04501
0.345259,1,11.070329
0.084718,1,11.076353
-0.280745,1,11.084895
-0.154523,1,11.114124
0.150137,1,11.115757
0.193818,1,11.256035
0.302854,1,11.258825
0.173607,1,11.273748
0.171492,1,11.277752
0.019766,1,11.285141
-0.23891,1,11.297234
0.168018,1,11.316673
0.418245,1,11.319914
