#{"t_start": 1777656034.5077631, "env_id": "None"}
r,l,t
0.863006,5,4.312906
4.033591,5,4.54278
-0.181328,5,5.015226
-0.075415,5,5.411164
2.631657,5,5.708778
-0.715763,5,6.158668
-0.075444,5,6.382211
-0.258855,5,6.587966
3.597237,5,6.903097
-0.218399,5,7.181396
-1.130579,5,7.652415
1.220167,5,8.084843
-0.360663,5,8.597714
0.857249,5,9.074012
-3.487448,5,9.72217
-2.278162,5,10.159608
-3.859663,5,10.746471
-5.796248,5,11.195042
0.847833,5,12.038239
2.579111,5,12.58982
-1.072914,5,13.531337
1.344443,5,13.961196
-0.230243,5,14.223051
-2.36575,5,14.514871
3.650152,5,15.247139
-1.056822,5,15.739152
3.507654,5,16.245516
-0.193715,5,16.487215
1.566355,5,16.838237
0.335922,5,17.445456
0.023878,5,17.887231
1.676606,5,18.486916
-1.440605,5,19.136661
-6.010107,5,19.610656
-0.547712,5,20.144988
1.581911,5,20.506732
1.02221,5,20.791268
-4.208617,5,21.29636
-0.188898,5,21.741353
-3.169652,5,22.36393
-2.651718,5,22.501721
4.878592,5,23.018989
1.570654,5,23.662587
3.414848,5,24.334997
1.311722,5,24.736206
2.199927,5,25.000754
0.905955,5,25.700819
-2.005879,5,26.167715
1.146362,5,26.516851
4.718999,5,26.858345
-0.006473,5,27.588266
1.468906,5,27.783028
-0.377016,5,28.099572
-7.797636,5,28.703361
1.415448,5,29.232831
2.026788,5,29.935227
-5.061245,5,30.282071
2.071538,5,31.0651
-3.242691,5,31.233673
0.3652,5,31.495134
-5.446712,5,32.087666
2.53706,5,32.438503
0.441607,5,32.73262
-4.047001,5,33.380883
-2.484123,5,33.772707
0.574531,5,34.100729
2.262536,5,34.644796
-4.093258,5,35.117583
-1.250213,5,35.405211
-0.189093,5,35.615417
-0.417605,5,36.162601
0.856004,5,36.365153
-7.833522,5,37.033858
4.03551,5,37.618596
-0.102125,5,37.847841
-2.367703,5,38.336641
-3.18884,5,38.649009
-0.629212,5,39.262619
0.774009,5,39.911891
1.751432,5,40.315161
-0.062689,5,40.7148
2.950782,5,41.011498
-2.538187,5,41.615564
1.831271,5,41.917928
-0.712328,5,42.291014
-0.165938,5,42.662934
-1.06651,5,43.065012
1.699375,5,43.285089
0.081814,5,43.963689
1.231057,5,44.347912
-1.324916,5,44.530561
0.585927,5,44.936903
-2.774299,5,45.460118
-4.343619,5,45.763223
1.250332,5,46.375087
-2.712861,5,46.844656
-0.830602,5,47.164647
2.118709,5,47.43083
-0.053522,5,48.095359
-0.267441,5,48.76184
0.434602,5,49.128788
0.429585,5,49.564058
1.229956,5,49.991759
1.563081,5,50.441481
1.504112,5,50.746383
1.852462,5,51.279062
-0.843324,5,51.613097
0.56335,5,52.261124
-3.340083,5,52.757173
-1.965188,5,53.260298
2.600082,5,53.6585
1.464365,5,53.790126
1.93603,5,54.239536
0.166276,5,54.506133
0.486847,5,54.83852
1.09936,5,55.128628
2.510294,5,55.508918
-2.66964,5,56.372356
0.258467,5,56.961392
0.586402,5,57.365404
-2.103942,5,57.676072
-1.811947,5,58.240051
2.309407,5,58.561443
3.016088,5,58.974944
-0.075387,5,59.286915
3.455003,5,59.654265
-0.265528,5,60.09031
0.150914,5,60.491594
-3.992831,5,60.925778
1.65016,5,61.190678
-1.003933,5,61.428585
0.931392,5,61.771226
-0.496846,5,62.136839
-0.098841,5,62.465705
2.668362,5,62.755083
2.323594,5,63.138957
2.459437,5,63.709994
-3.751838,5,64.673163
1.955873,5,64.855331
-1.960809,5,65.389977
-1.675132,5,65.804816
-4.003564,5,66.436527
-1.710369,5,66.855094
1.274846,5,67.135779
-2.839185,5,67.753895
-1.132811,5,67.871544
0.817848,5,68.160619
3.013144,5,68.489888
2.74717,5,69.174681
0.482214,5,69.754292
0.195988,5,70.075454
0.739877,5,70.723125
-0.884439,5,71.087355
-4.21855,5,71.55625
-1.867616,5,71.864707
-10.104051,5,72.273115
-4.460781,5,72.755513
-2.05271,5,73.068546
-0.510564,5,73.650175
-2.258095,5,74.054441
0.198726,5,74.437267
-2.572779,5,75.118009
1.146542,5,75.420819
0.785065,5,75.599581
1.322725,5,76.038044
1.072101,5,76.602938
-0.959785,5,76.996379
2.979747,5,77.363465
1.949343,5,77.801683
0.759035,5,78.030846
-0.960091,5,78.389117
3.106928,5,78.967552
-5.796978,5,79.421095
2.566468,5,79.722501
-1.491966,5,80.283219
-4.220684,5,80.661264
-1.005981,5,81.019476
-1.06778,5,81.500412
2.039799,5,81.773916
1.426187,5,82.282155
-1.01807,5,82.915864
2.012854,5,83.503638
0.685066,5,83.715673
-2.140774,5,84.167628
0.300914,5,84.708113
-4.644811,5,85.132339
-0.049759,5,85.584273
0.115555,5,86.288956
0.869659,5,86.691688
2.213921,5,87.136217
-4.046878,5,87.843608
0.374952,5,88.19908
0.371983,5,88.681021
2.482866,5,89.081785
-0.537703,5,89.500696
-2.995905,5,90.078941
-2.748815,5,90.423023
-1.626257,5,90.699606
0.283732,5,91.001076
1.092373,5,91.189129
1.653388,5,91.498195
-5.908335,5,92.223936
0.752021,5,92.339971
3.355874,5,92.865121
-0.006189,5,93.168724
2.31713,5,93.460152
2.31192,5,94.046711
-0.531813,5,94.381385
-2.501626,5,94.85845
2.057031,5,95.241675
-4.776577,5,95.632849
2.055899,5,96.254402
0.028027,5,96.862575
1.50154,5,97.398964
1.302875,5,97.911439
1.039273,5,98.395363
-1.016609,5,99.073746
-2.45728,5,99.557105
-3.12131,5,99.928426
2.257902,5,100.188475
-1.874356,5,100.52332
-3.594187,5,100.881826
-2.109865,5,101.163679
-5.135279,5,101.554083
0.315482,5,101.726978
1.904015,5,102.274248
0.362629,5,102.642831
0.962966,5,102.892965
1.331274,5,103.272613
-0.700843,5,103.728585
-2.633569,5,104.026892
3.933847,5,104.521263
1.262468,5,104.761039
0.087279,5,105.056736
-8.237828,5,105.595307
0.066276,5,105.971408
3.176526,5,106.670951
3.409934,5,107.174855
-0.875439,5,107.726867
0.771406,5,108.011707
3.301614,5,108.623199
1.609869,5,108.868503
2.361385,5,109.141678
2.998352,5,109.357432
-2.364233,5,109.77419
3.934564,5,110.074328
1.421312,5,110.615633
3.269523,5,111.170276
-0.967373,5,111.365903
0.186194,5,111.846318
1.798896,5,112.143865
-0.489606,5,112.822423
-5.265468,5,113.090608
2.425999,5,113.690715
-0.438247,5,114.050468
-1.122024,5,114.284775
2.82846,5,114.668011
1.718824,5,115.034482
0.923935,5,115.640727
1.655746,5,116.072838
1.471899,5,117.436336
-1.233422,5,117.84919
2.420415,5,118.814566
1.866182,5,119.304127
0.150545,5,119.522172
1.378785,5,120.338672
3.335752,5,120.637025
-1.210823,5,121.148591
2.187698,5,121.931044
-4.42086,5,122.299087
0.054734,5,122.930407
-0.125331,5,123.680331
0.381876,5,124.3234
-4.200173,5,124.740964
-7.284599,5,125.070097
1.97418,5,125.909082
0.030917,5,126.133135
3.095504,5,126.506316
-0.492841,5,127.029699
1.555404,5,127.462276
-4.935428,5,127.912992
1.28963,5,128.162932
0.104601,5,128.529414
-0.036243,5,129.067783
-0.745288,5,129.435961
2.406527,5,129.934321
0.987809,5,130.293696
-0.46108,5,130.967307
-3.757979,5,131.532659
-9.986842,5,132.079836
0.445299,5,132.464503
-0.653616,5,133.122458
-2.145682,5,133.613958
-2.612025,5,134.060409
