#{"t_start": 1755535446.3198059, "env_id": "None"}
r,l,t
2.485678,5,3.625833
-0.871092,5,3.830149
0.752043,5,4.003456
-0.100034,5,4.240701
-0.830269,5,4.559861
-1.37337,5,4.657818
-8.889042,5,4.885531
0.899866,5,5.000928
1.763352,5,5.215842
3.089557,5,5.380449
-0.505796,5,5.543768
0.692541,5,5.705013
-3.52872,5,5.946221
2.518586,5,6.146028
0.341781,5,6.637051
0.566289,5,6.807181
3.938711,5,6.96305
-4.184008,5,7.283554
-0.016661,5,7.426083
1.298052,5,7.548527
3.59044,5,7.735648
1.826253,5,8.055904
-2.855256,5,8.257317
-3.40811,5,8.469065
0.090293,5,8.659515
1.52282,5,8.965826
4.190508,5,9.225338
1.738452,5,9.446617
-1.212674,5,9.617808
0.843546,5,9.830058
-0.393414,5,10.064111
-1.390446,5,10.249606
0.229559,5,10.458576
2.572815,5,10.645754
-3.223242,5,10.786473
1.137319,5,11.039007
0.730254,5,11.239495
0.618015,5,11.428093
1.571419,5,11.648072
-2.593312,5,11.905388
2.368823,5,12.040639
-0.009723,5,12.317625
-0.477977,5,12.564859
2.814166,5,12.83664
-3.355505,5,12.995525
-2.249011,5,13.247632
1.574107,5,13.4223
-2.740068,5,13.645175
-0.667419,5,13.862399
1.298893,5,13.992703
2.186063,5,14.23324
-0.101427,5,14.461021
1.317858,5,14.692322
-1.401557,5,14.843499
-0.59887,5,14.985674
1.060253,5,15.17111
1.109327,5,15.336007
-0.291458,5,15.511628
-3.29938,5,15.734762
2.215425,5,15.850065
-0.665476,5,15.939324
-1.212201,5,16.127469
-1.622957,5,16.278474
0.688637,5,16.361823
-0.131436,5,16.551732
1.368488,5,16.671099
-0.816311,5,16.827673
-1.130713,5,16.991243
3.26388,5,17.113273
-2.126042,5,17.308582
-2.421157,5,17.502258
1.003471,5,17.707966
-5.959609,5,18.012915
2.019646,5,18.184221
-2.571351,5,18.378171
-0.577868,5,18.536118
-1.349211,5,18.685263
-3.149593,5,18.947774
1.151471,5,19.156591
-1.192688,5,19.391381
2.118297,5,19.629434
-1.739162,5,19.795227
-0.672498,5,19.945677
2.727778,5,20.085823
0.969595,5,20.282603
-2.154368,5,20.404314
-2.523834,5,20.63349
-3.361633,5,20.824318
2.498528,5,20.967798
-0.090313,5,21.238454
-2.191309,5,21.449392
3.543485,5,21.593411
-0.554167,5,21.77955
-1.8069,5,21.994369
2.27207,5,22.19933
-5.680352,5,22.311239
1.401553,5,22.502331
2.072811,5,22.760133
-3.745386,5,22.964365
-1.602773,5,23.087794
1.066361,5,23.201579
-0.395548,5,23.311462
-0.313326,5,23.523446
-0.016755,5,23.684193
0.61087,5,23.886152
1.700532,5,24.03159
-0.46839,5,24.287832
-2.931154,5,24.496533
-1.753001,5,24.704027
-0.717655,5,24.949578
2.125983,5,25.249864
1.673665,5,25.403802
1.457866,5,25.628314
1.044762,5,25.749986
-2.853176,5,25.914082
-1.018418,5,26.10142
2.687776,5,26.231586
0.835284,5,26.376477
2.081863,5,26.631522
-3.558576,5,26.797686
-4.344902,5,27.095443
-1.813118,5,27.204689
1.971328,5,27.398259
-1.275633,5,27.576682
-2.640657,5,27.760906
0.565858,5,27.968004
-1.045408,5,28.216417
-0.515057,5,28.464299
3.458879,5,28.684015
-2.469197,5,28.884198
-0.231472,5,29.056619
-3.883009,5,29.285539
-1.968105,5,29.487052
-2.100997,5,29.66987
1.404257,5,29.784939
2.847318,5,29.977554
1.688731,5,30.23774
-3.663666,5,30.467692
2.380902,5,30.65674
-1.632778,5,30.846654
-1.231094,5,31.058398
-1.726139,5,31.183271
1.142876,5,31.417934
-0.92248,5,31.608829
1.828982,5,31.797418
2.412002,5,31.974731
-0.1248,5,32.144265
-0.264498,5,32.282477
-0.995489,5,32.448409
-0.822109,5,32.675853
2.76879,5,32.857173
1.045199,5,32.967448
2.344336,5,33.193745
-0.522669,5,33.388137
2.656283,5,33.620023
1.945246,5,33.850299
2.013123,5,33.929923
2.676637,5,34.237401
2.743096,5,34.522563
-2.182707,5,34.72861
1.775165,5,34.935683
-0.444654,5,35.044914
0.527439,5,35.21761
-2.067457,5,35.460599
-3.841623,5,35.706725
1.167711,5,35.947114
-0.581286,5,36.12979
-0.44877,5,36.349032
0.834683,5,36.510305
-1.464629,5,36.672671
-0.030115,5,36.895586
0.454848,5,37.157609
2.554063,5,37.347561
-3.113833,5,37.604778
-4.872313,5,37.832249
-2.578927,5,38.055235
2.911431,5,38.237053
-5.488551,5,38.368775
2.284772,5,38.517003
1.334681,5,38.644729
1.820942,5,38.875607
-0.310335,5,39.101038
1.50838,5,39.250127
0.01331,5,39.432691
1.78988,5,39.610832
-1.442174,5,39.879648
0.152807,5,40.0215
-1.25822,5,40.147037
-2.35941,5,40.332477
-0.351061,5,40.543194
1.500103,5,40.670413
-0.036102,5,40.883189
-1.012373,5,41.133079
-1.816154,5,41.197577
0.750241,5,41.306941
-0.195989,5,41.472666
-4.042132,5,41.607244
-2.58796,5,41.780596
-0.890714,5,41.979188
-1.049609,5,42.159977
-0.212204,5,42.288532
3.099835,5,42.488843
1.898961,5,42.712247
3.214831,5,42.842187
0.866804,5,42.990875
-3.847257,5,43.088585
1.52839,5,43.263716
0.862354,5,43.511458
2.102211,5,43.716502
0.016907,5,43.914174
-0.174428,5,44.047322
-0.029154,5,44.308653
-3.321377,5,44.456201
2.074563,5,44.667905
-0.721151,5,44.7951
2.832231,5,45.051095
-1.559786,5,45.160906
-0.043735,5,45.289008
3.602302,5,45.418633
1.584295,5,45.656664
-1.43782,5,45.815746
-0.553387,5,46.029604
-0.563682,5,46.227948
-0.402043,5,46.371522
1.028914,5,46.533319
1.516471,5,46.68348
-1.504303,5,46.816377
3.886737,5,47.060785
-3.226814,5,47.260138
1.295637,5,47.552675
-0.021091,5,47.769407
0.965812,5,47.976435
-1.164888,5,48.109587
-3.448622,5,48.355095
2.475796,5,48.572682
-2.246147,5,48.786323
-2.76885,5,48.979415
0.362132,5,49.155489
0.732793,5,49.326865
-2.081549,5,49.638955
2.693901,5,49.847945
-1.118681,5,50.020703
2.395308,5,50.165683
2.045888,5,50.327808
-3.226371,5,50.534697
-4.362116,5,50.726111
2.02026,5,50.863982
-1.280534,5,50.966489
0.39741,5,51.132678
-0.034923,5,51.24456
-3.674729,5,51.51679
-1.75557,5,51.68324
-2.330497,5,51.912312
2.614184,5,52.107718
-4.529111,5,52.312736
-0.95722,5,52.521093
-0.191451,5,52.764875
0.712222,5,52.942912
1.987463,5,53.217119
0.91916,5,53.527518
1.777307,5,53.774863
-4.269236,5,53.932506
-1.340305,5,54.122535
-0.357652,5,54.329192
-1.751691,5,54.541946
-1.011765,5,54.640351
0.267631,5,54.771895
-3.457875,5,55.012396
-1.530804,5,55.240584
1.90181,5,55.359782
1.67684,5,55.552745
-3.3404,5,55.770597
0.911782,5,55.880486
0.13427,5,56.029417
-1.474161,5,56.152139
-1.442278,5,56.422923
1.294173,5,56.622886
-1.473478,5,56.747526
1.680391,5,56.933671
4.160679,5,57.166244
1.031649,5,57.287939
0.06833,5,57.44851
0.539231,5,57.699189
2.839597,5,57.874398
4.605477,5,58.116322
-0.423336,5,58.387382
-3.878635,5,58.510908
-1.433225,5,58.78361
1.309962,5,58.925152
1.3981,5,59.175116
-1.846959,5,59.395149
4.034579,5,59.537891
1.757572,5,59.802445
-0.594913,5,59.930688
-0.906306,5,60.136382
-4.980706,5,60.461785
-4.244017,5,60.650638
1.945849,5,60.83312
-2.017191,5,60.998252
-1.234929,5,61.085226
1.397304,5,61.315942
-0.67676,5,61.571873
2.632691,5,61.816844
1.33683,5,61.942102
0.811746,5,62.155967
1.96616,5,62.383043
-2.668588,5,62.578192
-0.275891,5,62.675354
2.142036,5,62.782769
1.385096,5,63.0011
1.052262,5,63.201668
-0.812939,5,63.413731
