#{"t_start": 1755724186.851286, "env_id": "None"}
r,l,t
0.654849,5,3.855319
-1.225971,5,4.029817
-1.386658,5,4.173796
2.19797,5,4.37609
-2.81392,5,4.60377
-0.469769,5,4.650055
3.517648,5,4.890958
-1.215418,5,5.066664
0.719997,5,5.255273
-3.421995,5,5.401123
-2.970122,5,5.543245
1.428592,5,5.675248
-0.816585,5,5.876153
1.886724,5,6.059133
0.903285,5,6.278568
1.845796,5,6.438889
0.891936,5,6.574634
0.411849,5,6.851881
-1.592957,5,6.969052
2.309693,5,7.081649
-2.002413,5,7.241702
3.344251,5,7.524587
-0.073653,5,7.693806
1.77325,5,7.879208
0.628193,5,8.049374
1.307739,5,8.293989
1.800587,5,8.511356
1.471796,5,8.713727
1.268739,5,8.856995
-0.249381,5,9.05169
-3.249227,5,9.300396
1.768537,5,9.476249
2.313326,5,9.654516
-3.10182,5,9.817665
-1.839509,5,9.930662
2.537674,5,10.148147
0.330606,5,10.323425
0.547361,5,10.493433
-0.238448,5,10.800152
1.354162,5,11.06306
-0.904769,5,11.191143
-0.449439,5,11.442881
1.901407,5,11.641969
0.73012,5,11.886401
0.108102,5,12.033559
0.925881,5,12.259108
0.57314,5,12.415834
2.405466,5,12.608581
1.680623,5,12.797445
-0.631047,5,12.92213
0.528355,5,13.135823
1.077984,5,13.3398
-0.157989,5,13.540938
0.136099,5,13.670135
-1.027908,5,13.797308
-1.393097,5,13.955968
-0.494659,5,14.103096
0.322366,5,14.2607
-0.394717,5,14.486173
-1.459523,5,14.588082
-1.748632,5,14.666378
-0.126297,5,14.832745
0.462814,5,14.968223
-0.401566,5,15.033953
1.878764,5,15.199586
2.060195,5,15.302081
-1.113726,5,15.436742
0.730405,5,15.58557
-1.654052,5,15.684177
-1.588994,5,15.853973
-3.736685,5,16.036473
1.472653,5,16.232324
1.20635,5,16.504305
2.459947,5,16.655136
0.777541,5,16.823874
-0.713048,5,16.953847
1.879708,5,17.086301
2.806958,5,17.312931
-1.967489,5,17.498944
0.293239,5,17.697922
2.038417,5,17.90517
0.124064,5,18.06129
-2.091307,5,18.183873
-0.627594,5,18.310495
1.755931,5,18.486729
0.476082,5,18.590875
-1.816905,5,18.786331
-0.456414,5,18.953178
0.010925,5,19.088391
-0.603268,5,19.328878
0.332095,5,19.53549
-0.244259,5,19.662731
2.954312,5,19.826944
1.045311,5,20.047578
0.778775,5,20.224887
1.686088,5,20.317826
-3.354311,5,20.494042
-3.579183,5,20.722271
0.941101,5,20.916172
1.751624,5,21.051403
-1.528185,5,21.154524
-3.950347,5,21.246679
1.320694,5,21.433262
0.530353,5,21.566054
0.948519,5,21.753099
-1.069603,5,21.877895
2.281992,5,22.141018
1.021623,5,22.353074
-0.919407,5,22.529852
0.947007,5,22.75075
1.099735,5,23.016503
-0.059419,5,23.168708
-2.655572,5,23.359831
2.350158,5,23.463175
-0.464545,5,23.608699
-1.25802,5,23.771937
2.695094,5,23.884523
-1.055399,5,24.010932
3.161892,5,24.254778
0.719356,5,24.41027
2.673496,5,24.679494
0.208221,5,24.773608
-1.563082,5,24.937707
-5.765154,5,25.081944
1.721233,5,25.238004
-0.297533,5,25.41542
3.497847,5,25.65497
2.224697,5,25.899309
0.184741,5,26.22231
1.089841,5,26.390648
-1.188772,5,26.606284
-0.857726,5,26.810295
-1.408605,5,27.000514
